	location_id	location_name
84	4220	Washington Pass, Golden Horn Batholith, Okanogan Co., Washington, USA
85	12413	Felskinn, Fee Glacier, Saas-Fee, Saas Valley, Zermatt - Saas Fee area, Valais, Switzerland
86	294200	Monument Quarry, Monument, Grant Co., Oregon, USA
87	41088	Bentley Lake occurrence, Faraday Township, Hastings Co., Ontario, Canada
88	8321	Lancaster chiastolite localities, Lancaster, Worcester Co., Massachusetts, USA
89	12418	Grotte de Lorette, Rochefort, Namur, Wallonia, Belgium
90	21554	Hohe Warte Mine, Hagental, Gernrode, Harz, Saxony-Anhalt, Germany
91	8324	Pancas, Espírito Santo, Brazil
92	8325	Bote Mine, Zacatecas, Zacatecas Municipality, Zacatecas, Mexico
93	12422	La Flèche quarry, Bertrix, Luxembourg, Wallonia, Belgium
94	12423	Antimony mine, Goesdorf, Goesdorf commune, Wiltz, Diekirch District, Luxembourg
95	12424	Haies-Monet, Landenne, Andenne, Namur, Wallonia, Belgium
96	185708	Navajún, La Rioja, Spain
97	139	Mount Isa, Mount Isa City Shire, Queensland, Australia
98	23191	Těškov, Rokycany District, Plzeň Region, Czech Republic
99	55925	N'Chwaning Mines, Kuruman, Kalahari manganese field, Northern Cape, South Africa
100	32914	Styggedalsgangen, Tråk, Bamble, Telemark, Norway
101	8339	Hunza Valley, Gilgit District, Gilgit-Baltistan, Pakistan
102	16656	Mt Painter area, Arkaroola Region (Arkaroola Wilderness Sanctuary; Arkaroola Station) , North Flinders Ranges, Flinders Ranges, South Australia, Australia
103	8341	Dar es Salaam, Dar es Salaam Region, Tanzania
104	4248	Taff's Well Quarry, Taff's Well, Cardiff, Wales, UK
105	16537	East Highgate, Highgate, Franklin Co., Vermont, USA
106	8346	Taininskii Mine, Zabaykalsky Krai, Russia
107	4251	Benallt Mine, Rhiw, Llanfaelrhys, Lleyn Peninsula, Gwynedd, Wales, UK
108	8348	Beaver Mine, Coleman Township, Cobalt area, Cobalt-Gowganda region, Timiskaming District, Ontario, Canada
109	27183	Hollywood Hills, Los Angeles, Santa Monica Mts, Los Angeles Co., California, USA
110	4255	Hendre Quarry, Glyn Ceiriog, Denbighshire, Wales, UK
111	16536	Tharaka-Nithi County, Kenya
112	4257	Cwmystwyth Mine, Cwmystwyth, Upper Llanfihangell-y-Creuddyn, Ceredigion, Wales, UK
113	12451	Belorechenskoe deposit, Adygea, Russia
114	16548	Pilot, State Line District, Cecil Co., Maryland, USA
115	4261	Daren Mine, Pen-bont Rhydybeddau, Trefeirig, Ceredigion, Wales, UK
116	16550	Artigas, Artigas Department, Uruguay
117	4263	Pen-y-Clun mine, Llanidloes, Powys, Wales, UK
118	168	Pernatty Lagoon, Stuart Shelf, South Australia, Australia
119	4265	Bwlch Glas Mine, Talybont, Ceulanymaesmawr, Ceredigion, Wales, UK
120	16554	Cyprus Mine, Ennis, Madison Co., Montana, USA
121	6855	Pack Rat Mine, Pryor Mts, Carbon Co., Montana, USA
122	175	Dundas mineral field, Zeehan district, West Coast municipality, Tasmania, Australia
123	176	Adelaide Mine, Dundas mineral field, Zeehan District, West Coast municipality, Tasmania, Australia
124	178	Red Lead Mine, Dundas mineral field, Zeehan district, West Coast municipality, Tasmania, Australia
125	179	Kapi Mine, North Dundas, Zeehan district, West Coast municipality, Tasmania, Australia
126	4276	Clogau St Davids Mine, Bontddu, Dolgellau Gold Belt, Gwynedd, Wales, UK
127	4279	Twll Maen Grisial, Fron Olau, Prenteg, Gwynedd, Wales, UK
128	4280	Gwynfynydd Mine, Ganllwyd, Dolgellau Gold Belt, Gwynedd, Wales, UK
129	4281	Llechwedd Helyg Mine, Pen-bont Rhydybeddau, Trefeirig, Ceredigion, Wales, UK
130	186	Mount Bischoff mine, Waratah, Waratah district, Waratah-Wynyard municipality, Tasmania, Australia
131	190	Cape Grim, Cape Grim district, Circular Head municipality, Tasmania, Australia
132	4287	Hendy Quarry, Llantrisant, Rhondda Cynon Taf, Wales, UK
133	4288	Markham Colliery, Markham, Caerphilly, Wales, UK
134	4289	Merthyr Tydfil, Merthyr Tydfil, Wales, UK
135	4290	Wyndham Colliery, Wyndham, Bridgend, Wales, UK
136	8907	Mali
137	4292	Blaengwynlais Quarry, Bwlch-y-cwm, Cardiff, Wales, UK
138	4293	Eaglebrook Mine, Nant-y-Moch Reservoir area, Talybont, Ceulanymaesmawr, Ceredigion, Wales, UK
139	198	Bendigo, City of Greater Bendigo, Victoria, Australia
140	4299	Ty Coch Mine, Porthcawl, Bridgend, Wales, UK
141	206	Mooralla, Southern Grampians Shire, Victoria, Australia
142	8909	Nagar, Hunza Valley, Gilgit District, Gilgit-Baltistan, Pakistan
143	1747	Cap Garonne Mine, Le Pradet, Var, Provence-Alpes-Côte d'Azur, France
144	4307	Mindouli, Mindouli District, Pool Department, Republic of Congo (Brazzaville)
145	4235	Green River Formation, Sweetwater Co., Wyoming, USA
146	4310	Kambove Principal Mine, Kambove District, Haut-Katanga, DR Congo
147	4311	Kamoto East Open cut, Kamoto, Kolwezi mining district, Lualaba, DR Congo
148	12507	Prince of Wales Mine, Llanelltyd, Dolgellau Gold Belt, Gwynedd, Wales, UK
149	4316	Mumba, Masisi Mts, North Kivu, DR Congo
150	4317	Lueshe Mine, North Kivu, DR Congo
151	22921	Calumet Mine, Shullsburg area, Upper Mississippi Valley District, Lafayette Co., Wisconsin, USA
152	225	Kambalda, Coolgardie Shire, Western Australia, Australia
153	4322	Musonoi Mine, Kolwezi, Kolwezi mining district, Lualaba, DR Congo
154	13783	Toroku mine, Takachiho, Nishiusuki, Miyazaki, Japan
155	241895	Boltry quarry, Seilles, Andenne, Namur, Wallonia, Belgium
156	4328	Shinkolobwe Mine, Shinkolobwe, Kambove District, Haut-Katanga, DR Congo
157	4329	Kolwezi Mine, Kolwezi, Kolwezi mining district, Lualaba, DR Congo
158	16150	Thomsonite beach, Grand Marais, Cook Co., Minnesota, USA
159	4331	L'Etoile du Congo Mine, Lubumbashi, Haut-Katanga, DR Congo
160	4333	Manono-Kitotolo Mine, Tanganyika, DR Congo
161	4334	Mashamba West Mine, Kolwezi mining district, Lualaba, DR Congo
162	239	Dobrova, Dravograd, Carinthia Region, Slovenia
163	8915	Caiana, Minas Gerais, Brazil
164	4341	Kabwe Mine, Kabwe, Kabwe, Central Province, Zambia
165	248	Salzburg, Austria
166	23331	Zlatý Kopec skarn deposit, Boží Dar, Karlovy Vary District, Karlovy Vary Region, Czech Republic
167	20730	Schoharie Co., New York, USA
168	22124	Chief Mine, Prince Mine group, Hilton Mines, Copper Camp, Hilton, Empire District, Empire Mts, Pima Co., Arizona, USA
169	3475	Pine Creek Mine, Scheelite, Bishop District, Inyo Co., California, USA
170	254	Styria, Austria
171	8917	Sughd, Tajikistan
172	4353	St Anns Mine, Mwami, Karoi District, Mashonaland West, Zimbabwe
173	264	Tyrol, Austria
174	2092	Monte Somma, Somma-Vesuvius Complex, Naples, Campania, Italy
175	4363	Bellecombe, Châtillon, Aosta Valley, Italy
176	268	Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
177	269	Zillertal, North Tyrol, Tyrol, Austria
178	270	Knappenwand, Knappenwand area, Untersulzbach valley, Hohe Tauern, Salzburg, Austria
179	418	Sapucaia mine, Sapucaia do Norte, Galiléia, Minas Gerais, Brazil
180	8376	Passa Limani Cove slag locality, Passa Limani area, Lavrion District slag localities, Lavreotiki, East Attica, Attica, Greece
181	4369	Esquire No. 1 claim, Rush Creek, Rush Creek deposit, Big Creek-Rush Creek District, Fresno Co., California, USA
182	221459	Peixe, Tocantins, Brazil
183	276	Haut-le-Wastia, Anhée, Namur, Wallonia, Belgium
184	278	Salmchâteau, Vielsalm, Stavelot Massif, Luxembourg, Wallonia, Belgium
185	279	Ottré, Vielsalm, Stavelot Massif, Luxembourg, Wallonia, Belgium
186	14603	Randolph Co., Alabama, USA
187	30970	Shomiokitovoe pegmatite, Umbozero mine, Alluaiv Mt, Lovozero Massif, Murmansk Oblast, Russia
188	282	Mont-des-Groseillers, Blaton, Mons, Hainaut, Wallonia, Belgium
189	20765	Hyakule, Sankhuwasabha District, Province No. 1, Nepal
190	4382	Goble, Columbia Co., Oregon, USA
191	4384	Tanzania
192	8482	Copper Mountain, Prince of Wales Island, Ketchikan District, Prince of Wales-Hyder Census Area, Alaska, USA
193	764	Valeč, Doupov, Karlovy Vary District, Karlovy Vary Region, Czech Republic
194	8484	Anaconda Mine, Berkeley Pit, Butte, Butte Mining District, Silver Bow Co., Montana, USA
195	296	La Sambre Quarry, Landelies, Montigny-le-Tilleul, Hainaut, Wallonia, Belgium
196	21895	Dalkarlsberg, Nora, Örebro County, Sweden
197	192814	Swamp No. 1 Quarry, Topsham, Sagadahoc Co., Maine, USA
198	5865	Kidder Lane amethyst locality, Southborough, Worcester Co., Massachusetts, USA
199	3342	Grey Horse Mine, Riverside, Riverside District, Dripping Spring Mts, Pinal Co., Arizona, USA
200	41271	Luishia Mine, Kambove District, Haut-Katanga, DR Congo
201	12600	Parkhouse Mine, Bigrigg, Egremont, Copeland, Cumbria, England, UK
202	8505	Voi, Taita-Taveta County, Kenya
203	41275	Kabolela Mine, Kolwezi mining district, Lualaba, DR Congo
204	12605	Sophienruhe Mine, Badenweiler Pb mining district, Badenweiler, Black Forest, Baden-Württemberg, Germany
205	319	Visé, Liège, Wallonia, Belgium
206	25807	Poço dos Cavalos pegmatite, Riacho do Pimenta, Banabuiú, Ceará, Brazil
207	12614	Logan Corundum occurrence, Carlow Township, Hastings Co., Ontario, Canada
208	47841	Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
209	4424	Blagill Mine, Alston Moor, Eden, Cumbria, England, UK
210	6199	Pulsifer Quarry & Dionne extension, West Mount Apatite District, Auburn, Androscoggin Co., Maine, USA
211	2786	Khovu-Aksy Ni-Co deposit, Tuva, Russia
212	334	Huanuni mine, Huanuni, Dalence Province, Oruro, Bolivia
213	335	Viloco Mine, Loayza Province, La Paz, Bolivia
214	336	Siglo Veinte Mine, Llallagua, Rafael Bustillo, Potosí, Bolivia
215	12625	Cystanog Mine, Vale of Towy, Carmarthen, Carmarthenshire, Wales, UK
216	339	Morococala Mine, Santa Fé mining district, Dalence Province, Oruro, Bolivia
217	14605	Cave-in-Rock Sub-District, Hardin Co., Illinois, USA
218	341	Santa Cruz Mine, Poopó town, Poopó Province, Oruro, Bolivia
219	343	Oruro City, Cercado Province, Oruro, Bolivia
220	9615	Altenkirchen, Rhineland-Palatinate, Germany
221	8541	Franklin Mine, Franklin, Franklin Mining District, Sussex Co., New Jersey, USA
222	350	Poopó town, Poopó Province, Oruro, Bolivia
223	11759	Cwm Leyshon Quarry, Draethen, Caerphilly, Wales, UK
224	8544	Brunswick, Cumberland Co., Maine, USA
225	353	El Dragón mine, Antonio Quijarro Province, Potosí, Bolivia
226	8546	Glendalough mine, Glendalough, Co. Wicklow, Ireland
227	355	Ánimas Mine, Chocaya-Animas, Atocha-Quechisla mining district, Sud Chichas Province, Potosí, Bolivia
228	193966	Salt River District, Gila Co., Arizona, USA
229	225641	Lac Alaotra Chrysoberyl Pegmatites, Ambatondrazaka, Alaotra-Mangoro, Madagascar
230	4459	White Queen Mine, Hiriart Mountain, Pala, Pala District, San Diego Co., California, USA
231	13714	Santa Barbara Mine, Santa Barbara lignite District, Cavriglia, Valdarno, Arezzo Province, Tuscany, Italy
232	366	Brazil
233	368	Bahia, Brazil
234	370	Pomba pit, Serra das Éguas, Brumado, Bahia, Brazil
235	9619	San Carlos Mine, San Carlos, Manuel Benavides Municipality, Chihuahua, Mexico
236	374	Guaratinga, Bahia, Brazil
237	375	Pedra Preta pit, Serra das Éguas, Brumado, Bahia, Brazil
238	10303	Houdaille Quarry, Little Falls Township, Passaic Co., New Jersey, USA
239	380	Cruzeiro mine, São José da Safira, Minas Gerais, Brazil
240	8196	Silver Miller Mine, Coleman Township, Cobalt area, Cobalt-Gowganda region, Timiskaming District, Ontario, Canada
241	1429	Dry Gill Mine, Caldbeck, Allerdale, Cumbria, England, UK
242	57728	Roßrugg ridge, Zemmgrund, Zillertal, North Tyrol, Tyrol, Austria
243	1830	Wilhelm Mine, Nentershausen, Hersfeld-Rotenburg, Hesse, Germany
244	387	Minas Gerais, Brazil
245	390	Barra do Salinas district, Barra do Salinas, Coronel Murta, Minas Gerais, Brazil
246	394	Conselheiro Pena pegmatite district, Conselheiro Pena, Minas Gerais, Brazil
247	7575	Harcourt area, Harcourt Township, Haliburton Co., Ontario, Canada
248	396	Diamantina, Minas Gerais, Brazil
249	4496	Flambeau Mine, Ladysmith, Ladysmith-Rhinelander Metavolcanic Complex, Rusk Co., Wisconsin, USA
250	4497	Ankarafa titanite claim, Daraina Commune, Vohémar District, Sava, Madagascar
251	4498	Morro Redondo mine, Coronel Murta, Minas Gerais, Brazil
252	12355	Goethite Hill, Pikes Peak, El Paso Co., Colorado, USA
253	404	Ilha claim, Taquaral, Itinga, Minas Gerais, Brazil
254	407	Linópolis, Divino das Laranjeiras, Minas Gerais, Brazil
255	408	Almerindo mine, Linópolis, Divino das Laranjeiras, Minas Gerais, Brazil
256	409	Mantena, Minas Gerais, Brazil
257	4508	Chatian Mine, Chatian ore district, Chatian Hg-Zn ore field, Fenghuang Co., Xiangxi, Hunan, China
258	4509	Schuyler Copper Mine, North Arlington, Bergen Co., New Jersey, USA
259	4511	Wanshan District, Tongren, Guizhou, China
260	4512	Savada, Dharangaon Taluka, Jalgaon District, Maharashtra, India
261	4513	Golconda pegmatite field, Governador Valadares, Minas Gerais, Brazil
262	4514	Ambas Aguas, Muro de Aguas, La Rioja, Spain
263	4515	Skardu, Skardu District, Gilgit-Baltistan, Pakistan
264	4516	Blueberry Mountain Quarry, Woburn, Middlesex Co., Massachusetts, USA
265	4517	Water Tunnel #3, Woodside, Queens Co., New York, USA
266	4518	Halls Gap, Lincoln Co., Kentucky, USA
267	423	Ouro Preto, Minas Gerais, Brazil
268	4521	William Wise Mine, Westmoreland, Cheshire Co., New Hampshire, USA
269	4522	Shangulowé Mine, Kambove District, Lualaba, DR Congo
270	4523	Fresnillo de Gonzalez Echeverria, Fresnillo Municipality, Zacatecas, Mexico
271	4524	Wolfe's Neck locality, Freeport, Cumberland Co., Maine, USA
272	4525	Thomaston Dam railroad cut, Thomaston Dam, Thomaston, Litchfield Co., Connecticut, USA
273	4526	Wasson Bluff, Parrsboro, Cumberland Co., Nova Scotia, Canada
274	12153	Siberia Goldfield, Kalgoorlie-Boulder Shire, Western Australia, Australia
275	4528	Bioul, Anhée, Namur, Wallonia, Belgium
276	4529	Interstate 93 bypass, Manchester, Hillsborough Co., New Hampshire, USA
277	4532	Bombay Quarry, Mumbai District, Maharashtra, India
278	1438	Mexico Mine, Roughton Gill, Caldbeck, Allerdale, Cumbria, England, UK
279	4534	Goboboseb Mts, Brandberg Area, Dâures, Erongo Region, Namibia
280	8265	Umba River, Tanga Region, Tanzania
281	440	Virgem da Lapa, Minas Gerais, Brazil
282	20921	Castile-La Mancha, Spain
283	4538	Berry Materials Corp. Quarry, North Vernon, Jennings Co., Indiana, USA
284	4539	Shullsburg area, Upper Mississippi Valley District, Lafayette Co., Wisconsin, USA
285	4540	Spar Hill, Pine Canyon deposit, West Burro Mts, Burro Mountains District, Grant Co., New Mexico, USA
286	8637	Los Molinillos - La Vacariza, Minglanilla, Cuenca, Castile-La Mancha, Spain
287	4542	San Carlos Mine, Aranzazú, Concepción del Oro Municipality, Zacatecas, Mexico
288	4543	Prabornaz Mine, Saint-Marcel, Aosta Valley, Italy
289	4544	Roccamonfina, Roccamonfina Volcanic Complex, Caserta, Campania, Italy
290	4545	Prospect Park Quarry, Prospect Park, Passaic Co., New Jersey, USA
291	4546	Rancagua, Cachapoal Province, O'Higgins, Chile
292	20931	Penghu Co., Taiwan Province, Taiwan
293	4548	Badulla, Badulla District, Uva Province, Sri Lanka
294	4549	Yaogangxian Mine, Yaogangxian W-Sn ore field, Yizhang Co., Chenzhou, Hunan, China
295	4551	Atlantic Mine, Atlantic Mine, Houghton Co., Michigan, USA
296	4552	Rotten Rock Pit, Davis Hill, Brownfield, Oxford Co., Maine, USA
297	4553	Hedgehog Hill Quarry, Peru, Oxford Co., Maine, USA
298	4554	Blue Ball Stone Co. Quarry, Blue Ball, Earl Township, Lancaster Co., Pennsylvania, USA
299	4555	Corocoro, Pacajes Province, La Paz, Bolivia
300	4556	Hesse, Germany
301	4557	Granby Field, Tri-State District, Newton Co., Missouri, USA
302	4559	Belvidere Mountain Quarries, Lowell & Eden, Orleans & Lamoille Cos., Vermont, USA
303	4560	Mt Ida, Montgomery Co., Arkansas, USA
304	4561	Centreville, Culpeper Basin, Fairfax Co., Virginia, USA
305	5471	St Johannes Mine, Wolkenstein, Marienberg District, Erzgebirge District, Saxony, Germany
306	4563	Snow Lake, Snow Lake District, Manitoba, Canada
307	18701	Reocín Mine, Reocín, Cantabria, Spain
308	4565	Spinelli prospect, Glastonbury, Hartford Co., Connecticut, USA
309	26339	Iron Crag, Roughton Gill, Caldbeck, Allerdale, Cumbria, England, UK
310	4568	Capurru Quarry, Osilo, Sassari Province, Sardinia, Italy
311	1444	Roughton Gill Mine, Roughton Gill, Caldbeck, Allerdale, Cumbria, England, UK
312	475	Ice River Alkaline Complex, Golden Mining Division, British Columbia, Canada
313	16519	Dhading District, Province No. 3, Nepal
314	4575	Spokane, Spokane Co., Washington, USA
315	4576	Hollister prospects, South Glastonbury, Glastonbury, Hartford Co., Connecticut, USA
316	4577	Drot Valley, Astore District, Gilgit-Baltistan, Pakistan
317	12770	Mammoth District, Pinal Co., Arizona, USA
318	23053	Toughnut Mine, Tombstone, Tombstone District, Tombstone Hills, Cochise Co., Arizona, USA
319	53732	S and O claims, Wickenburg, Yavapai Co., Arizona, USA
320	485	Mount Brussilof mine, Radium Hot Springs, Golden Mining Division, British Columbia, Canada
321	4177	Repete Mine, Blanding, San Juan Co., Utah, USA
322	25794	Lurisia Mine, Lurisia, Roccaforte di Mondovì, Cuneo Province, Piedmont, Italy
323	4585	Patch Mine, Central City District, Gilpin Co., Colorado, USA
324	4586	Redwing Quarry, Falls Village, Canaan, Litchfield Co., Connecticut, USA
325	25068	Shaft 250, Schlema-Hartenstein District, Erzgebirge District, Saxony, Germany
326	4589	Cerro de Mercado Mine, Victoria de Durango, Cerro de los Remedios, Durango Municipality, Durango, Mexico
