,mineral_id,mineral_name
266,2434,Lorándite
267,2436,Lorenzenite
268,2454,Ludwigite
269,10174,Batiferrite
270,39304,Noonkanbahite
271,2442,Lourenswalsite
272,397,Asselbornite
273,8591,Almandine-Spessartine Series
274,4163,Vauquelinite
275,2452,Ludlamite
276,2453,Ludlockite
277,406,Atacamite
278,2455,Lueshite
279,4164,Vauxite
280,2461,Luzonite
281,2462,Låvenite
282,3141,Pectolite
283,2464,Lyonsite
284,2465,Leucite
285,2466,Litharge
286,8611,Uranothorite
287,9286,Chromian Dravite
288,422,Aurichalcite
289,2801,Mrázekite
290,2472,Manganophyllite
291,3181,Phosphophyllite
292,7581,Biehlite
293,432,Austinite
294,433,Autunite
295,2482,Magnesite
296,6899,Deliensite
297,10677,Argentian Tetrahedrite
298,438,Avogadrite
299,2265,Koutekite
300,7583,Ducktownite
301,2494,Manganbabingtonite
302,447,Azurite
303,1885,Heterogenite
304,451,Augelite
305,452,Almandine
306,453,Ashoverite
307,2502,Axinite-(Mn)
308,2503,Manganosite
309,2507,Macedonite
310,2508,Macfallite
311,11000,Ronneburgite
312,466,Barytocalcite
313,419,Augite
314,2608,Mbobomkulite
315,1785,Gyrolite
316,472,Bariopharmacosiderite
317,2522,Tantalite-(Mn)
318,8667,Columbite-(Fe)-Columbite-(Mn) Series
319,2526,Manganoan Calcite
320,2528,Manganostibite
321,2308,Labradorite
322,764,Brenkite
323,2538,Magnetite
324,2539,Magnetoplumbite
325,2349,Lavendulan
326,10734,Rinmanite
327,1789,Hackmanite
328,2544,Malhmoodite
329,2690,Metatyuyamunite
330,1107,Cohenite
331,10740,Unnamed (gamma-Zn(OH)2)
332,2550,Malachite
333,29175,Pyrochlore Supergroup
334,7178,Meurigite-K
335,11007,Orthominasragrite
336,2133,Kainosite-(Y)
337,8705,Heterosite-Purpurite Series
338,2564,Manganoneptunite
339,2565,Manganoan Vesuvianite
340,2568,Mansfieldite
341,2404,Lindackerite
342,6666,Precious Opal
343,2571,Marcasite
344,8717,Phillipsite-Ca-Phillipsite-K Series
345,2575,Marialite
346,39442,Ferri-fluoro-katophorite
347,1795,Hagendorfite
348,1927,Honessite
349,1113,Colusite
350,536,Barrerite
351,772,Brianyoungite
352,2587,Massicot
353,6684,Pleonaste
354,7258,Pushcharovskite
355,542,Cuprian Austinite
356,6689,Plumbeine
357,2597,Mattheddleite
358,10790,Byssolite
359,2599,Maucherite
360,43562,Fluor-uvite
361,29229,Apatite
362,6703,Prase
363,560,Bastnäsite-(Ce)
364,2281,Kryzhanovskite
365,7262,Quadratite
366,29239,Axinite Group
367,10810,Zaccagnaite
368,2143,Kamacite
369,7384,Zdenĕkite
370,574,Bauranoite
371,10816,Nickeloan Adamite
372,577,Bavenite
373,2627,Meionite
374,2628,Meixnerite
375,8773,Descloizite-Mottramite Series
376,6726,Troostite
377,6727,Heliodor
378,2632,Melanotekite
379,2633,Melanterite
380,8778,Scapolite
381,2827,Nadorite
382,2638,Mellite
383,2270,Krausite
384,2641,Mendipite
385,6739,Campylite
386,2644,Meneghinite
387,597,Becquerelite
388,6742,Sphärosiderite
389,2647,Mercury
390,2648,Mereheadite
391,7268,Rambergite
392,602,Béhierite
393,603,Behoite
394,36,Aerugite
395,608,Belendorffite
396,2657,Mesolite
397,2066,Jahnsite-(CaMnFe)
398,612,Bellingerite
399,39448,Stolzite-Wulfenite Series
400,2662,Meta-autunite
401,618,Belovite-(Ce)
402,2670,Metacinnabar
403,6728,Mica Group
404,624,Benitoite
405,2673,Metaheinrichite
406,6975,Gordaite
407,628,Beraunite
408,631,Bergenite
409,2680,Metamunirite
410,2684,Metaschoepite
411,2685,Metasideronatrite
412,29310,Melilite Group
413,2688,Metaswitzerite
414,2689,Metatorbernite
415,642,Bertrandite
416,3772,Stewartite
417,644,Beryllonite
418,646,Berzeliite
419,2696,Metavoltine
420,649,Betafite (of Hogarth 1977)
421,2698,Metazeunerite
422,3863,Magnesiotaaffeite-2N’2S
423,652,Beudantite
